name,releasedate,language,price,authors,contributors,narrators,audible_length_m,audible_rating,ratings_count
Barbie - Superprincesa,2022-03-07,spanish,38.0,Mattel,,Vanessa Pérez Jurado,29,0.0,0
Among Us Book - Red Diary,2021-06-16,english,204.0,Zeekid Media,,Tommy Jay,79,0.0,0
We’re Going to Find the Monster,2021-10-28,english,410.0,"Malorie Blackman, Dapo Adeola",,Malorie Blackman,6,0.0,0
Ut i det vilda,2021-08-26,swedish,568.0,Erin Hunter,,Mattias Linderoth,495,0.0,0
The Imagination Box: A Mind of Its Own,2021-09-28,english,569.0,Martyn Ford,,Joshua Mc Guire,377,0.0,0
Dungeons & Dragons: The Mad Mage's Academy,2020-05-26,english,1172.0,Matt Forbeck,,"Gildart Jackson, Tim Campbell",135,0.0,0
Scary Stories for Young Foxes: The City,2021-09-28,english,703.0,Christian Mc Kay Heidicker,JunyiWu-illustrator,Christian Mc Kay Heidicker,553,0.0,0
Med kunglig stämpel,2022-03-07,swedish,32.0,"Jeffrey Archer, Maria Nilsson",,Magnus Schmitz,29,0.0,0
Bolt,2022-03-07,swedish,166.0,"Disney, Nils Wadström",,Frederick Halbout,141,0.0,0
The Tenth Son,2022-03-01,english,186.0,"Ayan Malpani, Ashish Malpani",,Yohan Chacko,257,0.0,0
Escape from Falaise,2021-12-01,english,797.0,John Flanagan,,John Keating,457,4.5,2
The Jungle Book,2020-08-04,english,305.0,Rudyard Kipling,LisaChurch-adaptation,Rebecca K. Reynolds,151,0.0,0
PJ Masks - 3-Minuten-Gutenachtgeschichten,2022-03-31,german,99.0,e One,,Monty Arnold,31,0.0,0
Opapi-Opapa - Volle Kraft voraus!,2022-03-29,german,65.0,Paul Mc Cartney,,Kai Lüftner,11,0.0,0
Opapi-Opapa - Besuch von den Krawaffels,2022-03-29,german,65.0,Paul Mc Cartney,,Kai Lüftner,10,0.0,0
Als Papa auf einen Knopf drückte und wir fast von einem Dino gefressen wurden,2022-03-31,german,300.0,Nicolas Gorny,,Martin Baltscheit,90,0.0,0
Spidey og hans fantastiske venner,2022-03-29,danish,32.0,"Marvel, Brian Iskov",,Mathias Klenske,8,0.0,0
Phantom Stallion: Blue Wings,2022-03-29,english,398.0,Terri Farley,,Natalie Budig,262,0.0,0
Super Pigiamini - Storie della buonanotte da 5 minuti,2022-03-30,italian,113.0,Raffaella Casati,,Stefan Popa,64,0.0,0
Lost Island,2022-03-29,english,469.0,Marcy Kate Connolly,,Chloe Cannon,239,0.0,0
The Boy Who Hatched Monsters,2022-03-31,english,493.0,T. C. Shelley,,Jot Davies,573,0.0,0
The Magic Ocean Slide & The Giant Conker,2022-04-01,english,573.0,Emma Beswetherick,,Hayley Wareham,133,0.0,0
Krieg der Fluten,2022-03-30,german,468.0,Dan Jolley,,Jacob Weigert,402,0.0,0
The Secret of Splint Hall,2022-04-01,english,759.0,Katie Cotton,,Julia Barrie,561,0.0,0
Tschakka! - Freunde in Sicht,2022-03-30,german,367.0,Mara Andeck,,Monika Oschek,149,0.0,0
El candidato novato,2022-04-01,spanish,192.0,Jordi Sierrai Fabra,,Aneta Fernández,174,0.0,0
The Call of the Silver Wibbler,2022-03-31,english,569.0,Hannah Peck,,Charlie Sanderson,93,0.0,0
Frankie Best Hates Quests,2022-03-31,english,410.0,Chris Smith,,"Chris Smith, Karise Yansen, Roy Mc Millan",391,0.0,0
Trapped in the Overworld,2016-06-30,english,233.0,Winter Morgan,,Nicol Zanzarella,114,5.0,3
The Boy Who Biked the World: On the Road to Africa,2022-02-11,english,569.0,Alastair Humphreys,,Alastair Humphreys,115,0.0,0
The 143-Storey Treehouse,2021-10-19,english,323.0,"Andy Griffiths, Terry Denton",,Stig Wemyss,100,5.0,1
Unicorn Academy: Isla and Buttercup,2022-03-10,english,266.0,Julie Sykes,,Kristin Atherton,96,0.0,0
Herobrine's War,2022-03-01,english,703.0,Mark Cheverton,,Nick Walther,381,0.0,0
Small Change for Stuart,2021-07-01,english,664.0,Lissa Evans,,Lissa Evans,246,0.0,0
The Extreme,2022-01-04,english,445.0,Katherine Applegate,,Ramónde Ocampo,184,0.0,0
Alain l'alien,2022-03-09,french,338.0,Xavier- Laurent Petit,,Marion Trintignant,11,0.0,0
Wingfeather Tales,2021-03-23,english,1382.0,"Jonathan Rogers, N. D. Wilson",AndrewPeterson-editor,Andrew Peterson,638,0.0,0
Spider-Man gegen Sandman / Spider-Man und die Marvels,2022-03-21,german,166.0,"Mac Kenzie Cadenhead, Sean Ryan",AnkeAlbrecht-Übersetzer,Christian Zeiger,57,0.0,0
Swamp Sting!,2022-03-16,english,105.0,"Sebastian Facio, Blake A. Hoena",,unknown,11,0.0,0
Poison Jungle,2019-07-30,english,656.0,Tui T. Sutherland,,Shannon Mc Manus,445,5.0,10
39 Clues: Cahills vs. Vespers,2011-08-30,english,586.0,Gordon Korman,,David Pittu,322,5.0,5
Adventure Time - Too Many Bananas & Other Stories,2021-06-16,english,422.0,"Rohini Nilekani, Reshma Thapa- Gurung, Lavina Mahbubani",,"Avinash Ramachander, Brian Christopher, Seetal Iyer",29,0.0,0
Blue Moon,2021-05-18,english,586.0,James Ponti,,Elizabeth Klett,419,0.0,0
The Last Kids on Earth: June's Wild Flight,2020-04-07,english,754.0,"Max Brallier, Douglas Holgate",,Montse Hernandez,196,5.0,3
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,2021-04-02,english,492.0,Dav Pilkey,,"Len Forgione, Winston Bromhead, I'ke Mitchell",159,5.0,5
Mermaids of the Deep Blue Sea,2021-09-01,english,234.0,Gertrude Chandler Warner,,Aimee Lilly,104,0.0,0
Flying Ninja!,2021-05-18,english,164.0,Anh Do,,Christopher Gebauer,56,0.0,0
Fortress of the Stone Dragon,2021-05-04,english,164.0,Tracey West,,Emily Ellet,49,0.0,0
Zoey and Sassafras: The Pod and the Bog,2021-04-13,english,468.0,Asia Citro,,Janina Edwards,65,0.0,0
PJ Masks - Héroes en Pijamas - ¡Los lobeznos!,2022-01-24,spanish,38.0,e One,NicolásOluchaSánchez-traductor,Kevin Calderón,10,0.0,0
PJ Masks - Potència PJ!,2022-01-24,catalan,38.0,e One,AnaC.AlcainaPerez-traductor,Roger Serradell,33,0.0,0
PJ Masks - Preparats per a l’acció!,2022-01-24,catalan,38.0,e One,AnaC.AlcainaPerez-traductor,Roger Serradell,12,0.0,0
"Mortel un jour, Mortel toujours!",2022-01-25,french,529.0,Mr Tan,,Dorothée Pousseo,65,0.0,0
